#ID,name,KEGG_annotation,KEGG_pathway_annotation
neg_7788,5-Amino-4-imidazolecarboxyamide,C04051,Purine metabolism(ko00230);;Metabolic pathways(ko01100)
neg_7798,3-Methylindolepyruvate,C05644,Tryptophan metabolism(ko00380);;Metabolic pathways(ko01100)
neg_7803,Salicylic acid,C00805,Metabolic pathways(ko01100);;Bile secretion(ko04976)
neg_7810,Oxytetracycline,C06624,Metabolic pathways(ko01100)
neg_7848,S-Adenosylmethioninamine,C01137,Cysteine and methionine metabolism(ko00270);;Arginine and proline metabolism(ko00330);;Metabolic pathways(ko01100)
neg_7850,"1,6-Dihydroxy-5-methylcyclohexa-2,4-dienecarboxylate",C06720,Metabolic pathways(ko01100)
neg_7851,Pravastatin,C01844,Bile secretion(ko04976)
neg_7854,"Benzo[a]pyrene-9,10-oxide",C14849,Metabolism of xenobiotics by cytochrome P450(ko00980);;Chemical carcinogenesis - DNA adducts(ko05204)
neg_7862,Licoisoflavone A,C10486,--
neg_7863,Cycloheximide,C06685,--
neg_7867,3-Hydroxypicolinic acid,C18620,--
neg_7869,Pseudaminic acid,C20082,Amino sugar and nucleotide sugar metabolism(ko00520);;Metabolic pathways(ko01100);;Biosynthesis of nucleotide sugars(ko01250)
neg_7871,Biliverdin-IX-beta,C21724,Porphyrin metabolism(ko00860)
neg_7874,Paraoxon,C06606,--
neg_7875,Biapenem,C11268,--
neg_7898,Colforsin,C09076,--
neg_7917,5-epi-Valiolol 7-phosphate,C21204,Metabolic pathways(ko01100)
neg_7918,Arbutin 6-phosphate,C06187,Glycolysis / Gluconeogenesis(ko00010)
neg_7929,"3,3'-Dimethoxybenzidine",C19231,--
neg_7962,Sphingosyl-phosphocholine,C03640,Sphingolipid metabolism(ko00600)
neg_8006,Carnosine,C00386,Histidine metabolism(ko00340);;beta-Alanine metabolism(ko00410);;Metabolic pathways(ko01100)
neg_8043,"6-Carboxy-5,6,7,8-tetrahydropterin",C20239,Folate biosynthesis(ko00790);;Metabolic pathways(ko01100)
neg_8044,Kievitone hydrate,C02549,--
neg_8051,Dehydroepiandrosterone sulfate,C04555,Steroid hormone biosynthesis(ko00140);;Metabolic pathways(ko01100);;Bile secretion(ko04976)
neg_8055,D-Alanyl-D-alanine,C00993,D-Amino acid metabolism(ko00470);;Metabolic pathways(ko01100)
neg_8104,4-(Nitrosoamino)-1-(3-pyridinyl)-1-butanone,C19564,Metabolism of xenobiotics by cytochrome P450(ko00980);;Chemical carcinogenesis - DNA adducts(ko05204)
neg_8110,Blasticidin S,C02010,--
neg_8112,Stercobilin,C05793,Porphyrin metabolism(ko00860)
neg_8123,Strictosidine aglycone,C03309,Metabolic pathways(ko01100)
neg_8145,D-Fructose 6-phosphate,C00085,Galactose metabolism(ko00052);;Starch and sucrose metabolism(ko00500);;Metabolic pathways(ko01100);;Carbon metabolism(ko01200);;AMPK signaling pathway(ko04152);;Glucagon signaling pathway(ko04922);;Insulin resistance(ko04931);;Central carbon metabolism in cancer(ko05230);;Diabetic cardiomyopathy(ko05415)
neg_8172,Toluene-cis-dihydrodiol,C04592,Metabolic pathways(ko01100)
neg_8175,Dihydrolipoate,C02147,Lipoic acid metabolism(ko00785);;Metabolic pathways(ko01100)
neg_8177,"2-Phytyl-1,4-naphthoquinone",C13309,Ubiquinone and other terpenoid-quinone biosynthesis(ko00130);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240)
neg_8183,"cis-2,3-Dihydroxy-2,3-dihydro-p-cumate",C06579,Metabolic pathways(ko01100)
neg_8212,Estrone glucuronide,C11133,Steroid hormone biosynthesis(ko00140)
neg_8214,"2-Hydroxy-6-oxoocta-2,4,7-trienoate",C07087,Metabolic pathways(ko01100)
neg_8223,3'-Amino-3'-deoxy-AMP,C07026,Metabolic pathways(ko01100)
neg_8237,Trihomomethionine,C17221,2-Oxocarboxylic acid metabolism(ko01210)
neg_8241,S-sulfanylglutathione,C17267,Sulfur metabolism(ko00920);;Metabolic pathways(ko01100)
neg_8243,Phorbol,C09155,Inflammatory mediator regulation of TRP channels(ko04750)
neg_8266,O-Acetylcarnitine,C02571,Insulin resistance(ko04931)
neg_8273,4-(beta-D-Glucosyloxy)benzoate,C03993,Ubiquinone and other terpenoid-quinone biosynthesis(ko00130)
neg_8309,Brevianamide F,C20563,Metabolic pathways(ko01100)
neg_8330,"11,12-EET",C14770,Arachidonic acid metabolism(ko00590);;Metabolic pathways(ko01100);;Vascular smooth muscle contraction(ko04270);;Serotonergic synapse(ko04726);;Ovarian steroidogenesis(ko04913)
neg_8331,Peimine,C10830,--
neg_8348,"2-Hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone",C05804,--
neg_8353,Ubiquinone-6,C17568,--
neg_8374,Demethyllactenocin,C12003,Metabolic pathways(ko01100)
neg_8392,Dinophysistoxin 1,C16870,--
neg_8405,alpha-D-Sedoheptulopyranose 7-phosphate,C20956,Metabolic pathways(ko01100)
neg_8406,5-Fluorouridine monophosphate,C16634,Drug metabolism - other enzymes(ko00983)
neg_8438,10-Deacetyl-2-debenzoylbaccatin III,C11899,Metabolic pathways(ko01100)
neg_8445,"12,13-Epoxy-9-hydroxy-10-octadecenoate",C14832,Linoleic acid metabolism(ko00591)
neg_8459,"2-Hydroxy-2,4-pentadienoate",C00596,Phenylalanine metabolism(ko00360);;Metabolic pathways(ko01100)
neg_8460,Itaconate,C00490,C5-Branched dibasic acid metabolism(ko00660);;Metabolic pathways(ko01100)
neg_8462,Wyerone,C08465,--
neg_8463,Acacetin,C01470,--
neg_8477,Dimethyl sulfoxide,C11143,Sulfur metabolism(ko00920);;Metabolic pathways(ko01100)
neg_8488,dl-alpha-Tocopherol nicotinate,C12981,Vitamin digestion and absorption(ko04977)
neg_8492,"(2R,3R)-3-Methylglutamyl-5-semialdehyde-N6-lysine",C20279,Lysine biosynthesis(ko00300);;Metabolic pathways(ko01100)
neg_8516,Tetracycline,C06570,Metabolic pathways(ko01100);;Bile secretion(ko04976)
neg_8542,Lithocholic acid,C03990,Bile secretion(ko04976)
neg_8544,Pyrimidodiazepine,C02587,Folate biosynthesis(ko00790)
neg_8579,triptolide,C09204,--
neg_8691,Antibiotic JI-20B,C17705,"Neomycin, kanamycin and gentamicin biosynthesis(ko00524)"
neg_8693,"Taxa-4(20),11(12)-dien-5alpha,13alpha-diol",C11897,Metabolic pathways(ko01100)
neg_8700,"L-3,4-Dihydroxybutan-2-one 4-phosphate",C15556,Riboflavin metabolism(ko00740);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240)
neg_8703,Zalcitabine,C07207,Bile secretion(ko04976)
neg_8720,Fludrocortisone acetate,C08186,--
neg_8721,beta-Tocotrienol,C14154,Ubiquinone and other terpenoid-quinone biosynthesis(ko00130);;Metabolic pathways(ko01100)
neg_8744,(6S)-Hydroxyhyoscyamine,C03325,Metabolic pathways(ko01100)
neg_8755,Pyridoxine,C00314,Vitamin B6 metabolism(ko00750);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240)
neg_8788,Isoxanthopterin,C03975,--
neg_8792,5-Formiminotetrahydrofolate,C00664,One carbon pool by folate(ko00670);;Metabolic pathways(ko01100)
neg_8798,2'-Deamino-2'-hydroxyparomamine,C20353,"Neomycin, kanamycin and gentamicin biosynthesis(ko00524)"
neg_8799,18-Hydroxycorticosterone,C01124,Steroid hormone biosynthesis(ko00140);;Metabolic pathways(ko01100);;Aldosterone synthesis and secretion(ko04925)
neg_8824,Dehydrovomifoliol,C02533,--
neg_8829,3-(5'-Methylthio)pentylmalic acid,C17223,2-Oxocarboxylic acid metabolism(ko01210)
neg_8835,Quinine,C06526,Taste transduction(ko04742);;Bile secretion(ko04976)
neg_8868,Genistein,C06563,Metabolic pathways(ko01100)
neg_8880,N-Acetylhistamine,C05135,Histidine metabolism(ko00340)
neg_8898,Lovastatin acid,C21130,Metabolic pathways(ko01100)
neg_8910,(-)-5'-Demethylyatein,C21184,Metabolic pathways(ko01100)
neg_8924,Bilirubin,C00486,Porphyrin metabolism(ko00860);;Metabolic pathways(ko01100);;Bile secretion(ko04976)
neg_8929,Lividomycin B,C18003,"Neomycin, kanamycin and gentamicin biosynthesis(ko00524)"
neg_8930,APC,C16542,Drug metabolism - other enzymes(ko00983)
neg_8946,"(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoyl-CoA",C16169,Biosynthesis of unsaturated fatty acids(ko01040);;Metabolic pathways(ko01100);;Fatty acid metabolism(ko01212)
neg_8962,Estradiol,C00951,Steroid hormone biosynthesis(ko00140);;Metabolic pathways(ko01100);;Endocrine resistance(ko01522);;Thermogenesis(ko04714);;Ovarian steroidogenesis(ko04913);;Estrogen signaling pathway(ko04915);;Prolactin signaling pathway(ko04917);;GnRH secretion(ko04929);;Endocrine and other factor-regulated calcium reabsorption(ko04961);;Pathways in cancer(ko05200);;Chemical carcinogenesis - receptor activation(ko05207);;Chemical carcinogenesis - reactive oxygen species(ko05208);;Prostate cancer(ko05215);;Breast cancer(ko05224)
neg_8981,Dihydrolipoamide,C00579,--
neg_9013,Lusitanicoside,C10474,--
neg_9026,Guanosine,C00387,Purine metabolism(ko00230);;Metabolic pathways(ko01100);;Nucleotide metabolism(ko01232);;ABC transporters(ko02010)
neg_9050,Acarbose,C06802,Metabolic pathways(ko01100)
neg_9051,Paromomycin,C00832,"Neomycin, kanamycin and gentamicin biosynthesis(ko00524)"
neg_9053,trans-2-Enoyl-OPC6-CoA,C16332,alpha-Linolenic acid metabolism(ko00592);;Metabolic pathways(ko01100)
neg_9065,Ergocornine,C09162,--
neg_9078,Bisindolylmaleimide i,C11238,--
neg_9094,Danazol,C06938,--
neg_9102,Hydrocortisone,C00735,Steroid hormone biosynthesis(ko00140);;Metabolic pathways(ko01100);;Neuroactive ligand-receptor interaction(ko04080);;Cortisol synthesis and secretion(ko04927);;Cushing syndrome(ko04934);;Aldosterone-regulated sodium reabsorption(ko04960);;Bile secretion(ko04976);;Pathways in cancer(ko05200);;Prostate cancer(ko05215)
neg_9132,Citalopram N-oxide,C16607,Drug metabolism - cytochrome P450(ko00982)
neg_9136,6-Keto-prostaglandin F1a,C05961,Arachidonic acid metabolism(ko00590);;Metabolic pathways(ko01100)
neg_9162,Benzoic acid,C00180,Metabolic pathways(ko01100)
neg_9168,Glycitin,C16195,--
neg_9169,"5-(2'-Carboxyethyl)-4,6-dihydroxypicolinate",C05655,Tryptophan metabolism(ko00380)
neg_9185,"2-Hydroxy-6-oxo-(2'-aminophenyl)-hexa-2,4-dienoate",C08062,Metabolic pathways(ko01100)
neg_9192,6-Keto-prostaglandin E1,C05962,Arachidonic acid metabolism(ko00590);;Metabolic pathways(ko01100)
neg_9198,BQ 123,C11587,Bile secretion(ko04976)
neg_9221,Solasodine,C10822,--
neg_9261,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate,C00692,D-Amino acid metabolism(ko00470);;Metabolic pathways(ko01100)
neg_9274,Cyclohex-1-ene-1-carboxyl-CoA,C09811,Metabolic pathways(ko01100)
neg_9280,Validamine 7-phosphate,C21216,Metabolic pathways(ko01100)
neg_9284,1-Oleoyl-sn-glycero-3-phosphocholine,C03916,--
neg_9292,Glycochenodeoxycholate,C05466,Primary bile acid biosynthesis(ko00120);;Bile secretion(ko04976);;Cholesterol metabolism(ko04979)
neg_9295,Cathenamine,C11680,Metabolic pathways(ko01100)
neg_9335,Encelin,C09404,--
neg_9342,Avermectin A1b aglycone,C11964,Metabolic pathways(ko01100)
neg_9363,Cortisol,C00735,Steroid hormone biosynthesis(ko00140);;Metabolic pathways(ko01100);;Neuroactive ligand-receptor interaction(ko04080);;Cortisol synthesis and secretion(ko04927);;Cushing syndrome(ko04934);;Aldosterone-regulated sodium reabsorption(ko04960);;Bile secretion(ko04976);;Pathways in cancer(ko05200);;Prostate cancer(ko05215)
neg_9366,Aurachin A,C21875,Metabolic pathways(ko01100)
neg_9369,Mibefradil,C07222,--
neg_9404,3'-Demethylstaurosporine,C07349,Metabolic pathways(ko01100)
neg_9407,THF-L-glutamate,C09332,Folate biosynthesis(ko00790);;Biosynthesis of cofactors(ko01240)
neg_9425,Tetrahydrocortisone,C05470,Steroid hormone biosynthesis(ko00140)
neg_9469,Phenylacetylglutamine,C04148,Phenylalanine metabolism(ko00360)
neg_9479,16-Glucuronide-estriol,C05504,Steroid hormone biosynthesis(ko00140)
neg_9488,Abscisic aldehyde,C13455,Metabolic pathways(ko01100)
neg_9501,Androsterone glucuronide,C11135,Steroid hormone biosynthesis(ko00140);;Metabolic pathways(ko01100)
neg_9534,"3',4'-Anhydrovinblastine",C11641,Metabolic pathways(ko01100)
neg_9547,10-Hydroxycarbazepine,C07493,Drug metabolism - cytochrome P450(ko00982)
neg_9549,Formononetin,C00858,Metabolic pathways(ko01100)
neg_9554,Butirosin A,C17585,"Neomycin, kanamycin and gentamicin biosynthesis(ko00524)"
neg_9562,N-Methyltryptamine,C06213,Tryptophan metabolism(ko00380);;Metabolic pathways(ko01100)
neg_9564,Gemfibrozil,C07020,Chemical carcinogenesis - receptor activation(ko05207)
neg_9586,(10S)-Juvenile hormone III acid diol,C16506,Insect hormone biosynthesis(ko00981)
neg_9609,3-Carbamoyl-2-phenylpropionic acid,C16591,Drug metabolism - cytochrome P450(ko00982)
neg_9632,Prostaglandin E3,C06439,--
neg_969,Thiosulfate,C00320,Sulfur metabolism(ko00920);;Metabolic pathways(ko01100);;ABC transporters(ko02010)
neg_9709,gamma-L-Glutamyl-butirosin B,C18005,"Neomycin, kanamycin and gentamicin biosynthesis(ko00524)"
neg_9720,(+)-7-Isojasmonic acid CoA,C16339,alpha-Linolenic acid metabolism(ko00592);;Metabolic pathways(ko01100)
neg_9752,Reserpine,C06539,--
neg_9763,Menadione,C05377,Vitamin digestion and absorption(ko04977)
neg_9771,Hexadecanedioate,C19615,"Cutin, suberine and wax biosynthesis(ko00073);;Metabolic pathways(ko01100)"
neg_9773,Androstenedione,C00280,Steroid hormone biosynthesis(ko00140);;Metabolic pathways(ko01100);;Endocrine resistance(ko01522);;Ovarian steroidogenesis(ko04913);;Prolactin signaling pathway(ko04917);;Pathways in cancer(ko05200);;Prostate cancer(ko05215)
neg_9816,Lovastatin,C07074,--
neg_9828,Pentamidine,C07420,--
neg_9878,10-OPDA,C16325,alpha-Linolenic acid metabolism(ko00592)
neg_9896,"2,3-Dinor-8-iso prostaglandin F1alpha",C14795,Arachidonic acid metabolism(ko00590)
neg_9924,"9,12,13-TriHOME",C14833,Linoleic acid metabolism(ko00591)
neg_9945,Ponasterone A,C08835,--
neg_9948,L-alpha-Acetyl-N-normethadol,C16661,Drug metabolism - cytochrome P450(ko00982)
neg_9958,5-N-Acetyl-7-N-(D-alanyl)-legionaminic acid,C22250,Metabolic pathways(ko01100);;Biosynthesis of nucleotide sugars(ko01250)
neg_9965,Prometon,C14186,--
neg_9972,4'-Oxonebramine,C21258,"Neomycin, kanamycin and gentamicin biosynthesis(ko00524)"
neg_9976,4-(Methylnitrosamino)-1-(1-oxido-3-pyridinyl)-1-butanone,C19602,Metabolism of xenobiotics by cytochrome P450(ko00980);;Chemical carcinogenesis - DNA adducts(ko05204)
neg_9990,Nopaline,C01682,Arginine and proline metabolism(ko00330);;Metabolic pathways(ko01100);;ABC transporters(ko02010)
neg_9997,19-Hydroxytestosterone,C05294,Steroid hormone biosynthesis(ko00140);;Metabolic pathways(ko01100)
