#ID,name,KEGG_annotation,KEGG_pathway_annotation
neg_13513,Leukotriene A4,C00909,Arachidonic acid metabolism(ko00590);;Metabolic pathways(ko01100);;Serotonergic synapse(ko04726)
neg_13558,Emindole SB,C20527,Metabolic pathways(ko01100)
neg_13592,p-Coumaroylagmatine,C04498,Metabolic pathways(ko01100)
neg_13695,(-)-alpha-Terpineol,C11393,Metabolic pathways(ko01100)
neg_13714,Veratramine,C10829,--
neg_13718,Erythromycin C,C06616,Metabolic pathways(ko01100)
neg_13736,"L-Rhamnono-1,4-lactone",C02991,Fructose and mannose metabolism(ko00051);;Metabolic pathways(ko01100)
neg_13742,2-Arachidonoylglycerol,C13856,Neuroactive ligand-receptor interaction(ko04080);;Thermogenesis(ko04714);;Retrograde endocannabinoid signaling(ko04723)
neg_13744,"2,22-Dideoxy-3-dehydroecdysone",C16498,Insect hormone biosynthesis(ko00981)
neg_13760,"4alpha-Methyl-5alpha-ergosta-8,14,24(28)-trien-3beta-ol",C11508,Steroid biosynthesis(ko00100);;Metabolic pathways(ko01100)
neg_13764,"1-Octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphoethanolamine",C21480,Ferroptosis(ko04216)
neg_13781,"17alpha,21-Dihydroxypregnenolone",C05487,Steroid hormone biosynthesis(ko00140)
neg_13794,19-Oxotestosterone,C05295,Steroid hormone biosynthesis(ko00140);;Metabolic pathways(ko01100)
neg_13795,Deoxycholic acid,C04483,Bile secretion(ko04976)
neg_13871,Castasterone,C15794,Metabolic pathways(ko01100)
neg_13873,6-Deoxocastasterone,C15802,Metabolic pathways(ko01100)
neg_13910,Octadecanoic acid,C01530,Fatty acid biosynthesis(ko00061);;Biosynthesis of unsaturated fatty acids(ko01040);;Metabolic pathways(ko01100);;Phototransduction - fly(ko04745)
neg_13914,Ginkgolic Acid,C10794,--
neg_13938,Cytidine,C00475,Pyrimidine metabolism(ko00240);;Metabolic pathways(ko01100);;Nucleotide metabolism(ko01232);;ABC transporters(ko02010)
neg_1396,Dimethylglycine,C01026,"Glycine, serine and threonine metabolism(ko00260);;Metabolic pathways(ko01100)"
neg_13975,"3-[(3aS,4S,7aS)-7a-Methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoate",C20199,Metabolic pathways(ko01100)
neg_13994,3-O-alpha-Mycarosylerythronolide B,C06630,Metabolic pathways(ko01100)
neg_14027,Undecaprenyl phosphate alpha-L-Ara4N,C16157,Amino sugar and nucleotide sugar metabolism(ko00520);;Metabolic pathways(ko01100)
neg_1403,Ornithine,C01602,--
neg_1405,L-Glutamate,C00025,"Arginine biosynthesis(ko00220);;Alanine, aspartate and glutamate metabolism(ko00250);;Arginine and proline metabolism(ko00330);;Histidine metabolism(ko00340);;Taurine and hypotaurine metabolism(ko00430);;D-Amino acid metabolism(ko00470);;Glutathione metabolism(ko00480);;Neomycin, kanamycin and gentamicin biosynthesis(ko00524);;Glyoxylate and dicarboxylate metabolism(ko00630);;Butanoate metabolism(ko00650);;C5-Branched dibasic acid metabolism(ko00660);;Porphyrin metabolism(ko00860);;Nitrogen metabolism(ko00910);;Aminoacyl-tRNA biosynthesis(ko00970);;Metabolic pathways(ko01100);;Carbon metabolism(ko01200);;2-Oxocarboxylic acid metabolism(ko01210);;Biosynthesis of amino acids(ko01230);;Biosynthesis of cofactors(ko01240);;ABC transporters(ko02010);;FoxO signaling pathway(ko04068);;Phospholipase D signaling pathway(ko04072);;Neuroactive ligand-receptor interaction(ko04080);;Ferroptosis(ko04216);;Gap junction(ko04540);;Circadian entrainment(ko04713);;Long-term potentiation(ko04720);;Synaptic vesicle cycle(ko04721);;Retrograde endocannabinoid signaling(ko04723);;Glutamatergic synapse(ko04724);;GABAergic synapse(ko04727);;Long-term depression(ko04730);;Taste transduction(ko04742);;Proximal tubule bicarbonate reclamation(ko04964);;Protein digestion and absorption(ko04974);;Amyotrophic lateral sclerosis(ko05014);;Huntington disease(ko05016);;Spinocerebellar ataxia(ko05017);;Pathways of neurodegeneration - multiple diseases(ko05022);;Cocaine addiction(ko05030);;Amphetamine addiction(ko05031);;Nicotine addiction(ko05033);;Alcoholism(ko05034);;Central carbon metabolism in cancer(ko05230)"
neg_14058,Tetrahydrocorticosterone,C05476,Steroid hormone biosynthesis(ko00140)
