#ID,name,HMDB_ID,CAS,kingdom(HMDB),super_class(HMDB),class(HMDB),sub_class(HMDB)
pos_10455,Phytocassane B,HMDB0041055,166547-22-4,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids
pos_10457,Cervonoyl ethanolamide,HMDB0013627,--,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters
pos_10458,7b-Hydroxy-3-oxo-5b-cholanoic acid,HMDB0000541,77060-26-5,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives"
pos_10459,Solanocardinol,HMDB0038836,138665-46-0,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroidal alkaloids
pos_10460,Baccatin,HMDB0248837,--,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Sesterterpenoids
pos_10467,"2,3-Dimethyl-2-cyclohexen-1-one",HMDB0031414,1122-20-9,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds
pos_10472,"17,18-EpETE",HMDB0010212,131339-23-6,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
pos_10473,"2-Cyclohexen-1-one, 3-(15-hydroxypentadecyl)-2,4,4-trimethyl-",HMDB0258756,--,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols
pos_10474,Cyclopamine,HMDB0250664,--,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroidal alkaloids
pos_10500,n-Butylbenzene,HMDB0059812,--,Organic compounds,Benzenoids,Benzene and substituted derivatives,--
pos_10502,"Ethyl (2E,4E,7Z)-Decatrienoate",HMDB0035375,28290-88-2,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters
pos_10509,Glutamyl-Gamma-glutamate,HMDB0028833,--,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
pos_10513,8-Acetoxy-4-acoren-3-one,HMDB0030974,185154-95-4,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds
pos_10515,Ranitidine,HMDB0001930,82530-72-1,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines
pos_10516,Hydroxyprolyl-Asparagine,HMDB0028858,--,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
pos_10519,Androsterone sulfate,HMDB0002759,2479-86-9,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Sulfated steroids
pos_10520,Biocytin,HMDB0003134,576-19-2,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
pos_10521,"5,6-DHET",HMDB0002343,213382-49-1,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids
pos_10525,"1-Phenyl-1,3-nonadecanedione",HMDB0035584,--,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds
pos_10526,"Furost-5-ene-3beta,22,26-triol",HMDB0303029,--,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Furostanes and derivatives
pos_10543,"LysoPC(18:2(9Z,12Z)/0:0)",HMDB0010386,22252-07-9,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines
pos_10572,Temsirolimus,HMDB0015632,162635-04-3,Organic compounds,Phenylpropanoids and polyketides,Macrolide lactams,--
