"Analysis","Variable","Endpoint_Type","Recommended_Test","Significant_pairwise_within_endpoint","group1","group2","comparison","estimate","statistic","p_raw","p_adjusted_within_endpoint","p_adjust_method"
"01_cytokine","Serum IL1β","continuous_cytokine","One-way ANOVA + Bonferroni vs Model",TRUE,"HQQD-H","Model","HQQD-H - Model",1022.43486635,3.79003058976239,0.00354320783591462,0.0177160391795731,"Bonferroni"
"01_cytokine","Lung IL1β","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",FALSE,"Control","Model","Control - Model",-231.10964,1.1025,0.293718112751792,0.293718112751792,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Lung IL1β","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",FALSE,"LVX","Model","LVX - Model",164.541395,2.39555555555556,0.121680515285648,0.121680515285648,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Lung IL1β","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",FALSE,"HQQD-L","Model","HQQD-L - Model",-43.0723874999999,0.11,0.740144135804575,0.740144135804575,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Lung IL1β","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",FALSE,"HQQD-M","Model","HQQD-M - Model",143.416323,0.4,0.527089256865538,0.527089256865538,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Lung IL1β","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",FALSE,"HQQD-H","Model","HQQD-H - Model",-116.9923465,0.782222222222222,0.376462365767638,0.376462365767638,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Ileum IL1β","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",TRUE,"Control","Model","Control - Model",-1780.0131526145,5.33333333333333,0.0209213353377941,0.0209213353377941,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Ileum IL1β","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",TRUE,"LVX","Model","LVX - Model",-1778.870670633,5.33333333333333,0.0209213353377941,0.0209213353377941,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Ileum IL1β","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",TRUE,"HQQD-L","Model","HQQD-L - Model",-1778.268325474,5.33333333333333,0.0209213353377941,0.0209213353377941,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Ileum IL1β","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",TRUE,"HQQD-M","Model","HQQD-M - Model",-1779.92413892,5.33333333333333,0.0209213353377941,0.0209213353377941,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Ileum IL1β","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",TRUE,"HQQD-H","Model","HQQD-H - Model",-1779.783950283,5.33333333333333,0.0209213353377941,0.0209213353377941,"Pairwise median test; unadjusted thesis-style"
