"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0006690","icosanoid metabolic process","3/9","128/18860",0.0234375,49.1145833333333,11.9344669944549,2.48960133383241e-05,0.000518666944548418,0.00012061631293466,"CASP1/PTGS2/SIRT1",3
"BP","GO:0007005","mitochondrion organization","4/9","417/18860",0.00959232613908873,20.1012523314682,8.61841642191764,2.71823959165173e-05,0.000550476171592854,0.000128013568001188,"AKT1/BCL2/MMP9/PPARG",4
"BP","GO:2001279","regulation of unsaturated fatty acid biosynthetic process","2/9","17/18860",0.117647058823529,246.535947712418,22.1298213991651,2.74282864533709e-05,0.000550476171592854,0.000128013568001188,"PTGS2/SIRT1",2
"BP","GO:0006979","response to oxidative stress","4/9","418/18860",0.00956937799043062,20.0531632110579,8.60725377811687,2.74391199378592e-05,0.000550476171592854,0.000128013568001188,"AKT1/BCL2/PTGS2/SIRT1",4
"BP","GO:0034763","negative regulation of transmembrane transport","3/9","134/18860",0.0223880597014925,46.9154228855721,11.6547205972841,2.85530123559374e-05,0.000565837135102419,0.000131585769393858,"AKT1/BCL2/MMP9",3
"BP","GO:0010595","positive regulation of endothelial cell migration","3/9","136/18860",0.0220588235294118,46.2254901960784,11.5655638102572,2.98463352460502e-05,0.000584340900901585,0.000135888831367559,"AKT1/PTGS2/SIRT1",3
"BP","GO:0070673","response to interleukin-18","2/9","18/18860",0.111111111111111,232.83950617284,21.5017389158582,3.08491853150014e-05,0.000584658623508928,0.000135962717952845,"AKT1/CASP1",2
"BP","GO:0072350","tricarboxylic acid metabolic process","2/9","18/18860",0.111111111111111,232.83950617284,21.5017389158582,3.08491853150014e-05,0.000584658623508928,0.000135962717952845,"AKT1/SIRT1",2
"BP","GO:0042325","regulation of phosphorylation","4/9","431/18860",0.00928074245939675,19.4483114204692,8.46560029910084,3.09419333057033e-05,0.000584658623508928,0.000135962717952845,"AKT1/MMP9/PTPRC/SIRT1",4
"BP","GO:0042692","muscle cell differentiation","4/9","441/18860",0.0090702947845805,19.0073066263542,8.36081124423287,3.38528297690813e-05,0.000629367390755825,0.000146359768927184,"AKT1/BCL2/MAPK14/SIRT1",4
"BP","GO:0050872","white fat cell differentiation","2/9","19/18860",0.105263157894737,220.584795321637,20.9237960883118,3.44699678629344e-05,0.000629367390755825,0.000146359768927184,"PPARG/SIRT1",2
"BP","GO:1902165","regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator","2/9","19/18860",0.105263157894737,220.584795321637,20.9237960883118,3.44699678629344e-05,0.000629367390755825,0.000146359768927184,"BCL2/SIRT1",2
"BP","GO:0009615","response to virus","4/9","445/18860",0.00898876404494382,18.8364544319601,8.31986081254008,3.50719354454109e-05,0.000633243278875475,0.000147261109063187,"BCL2/CASP1/MAPK14/PTPRC",4
"BP","GO:0030522","intracellular receptor signaling pathway","4/9","447/18860",0.00894854586129754,18.7521749937857,8.29958627056124,3.56934836963492e-05,0.000637383637434807,0.000148223951960548,"AKT1/MAPK14/PPARG/SIRT1",4
"BP","GO:0045834","positive regulation of lipid metabolic process","3/9","145/18860",0.0206896551724138,43.3563218390805,11.1871822504221,3.61446331080523e-05,0.000638424226093315,0.00014846594148502,"AKT1/PPARG/PTGS2",3
"BP","GO:0034762","regulation of transmembrane transport","4/9","450/18860",0.00888888888888889,18.6271604938272,8.26942113365566,3.66409873822124e-05,0.000640232306409626,0.000148886411660603,"AKT1/BCL2/MAPK14/MMP9",4
"BP","GO:0001503","ossification","4/9","455/18860",0.00879120879120879,18.4224664224664,8.21979169607793,3.82612011253278e-05,0.000654968822914028,0.000152313397523003,"AKT1/BCL2/MAPK14/PPARG",4
"BP","GO:1904177","regulation of adipose tissue development","2/9","20/18860",0.1,209.555555555556,20.3896466722259,3.8290485031897e-05,0.000654968822914028,0.000152313397523003,"PPARG/SIRT1",2
