"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","3/9","368/9399",0.00815217391304348,8.51358695652174,4.55207578833954,0.00419275927341196,0.0118871810190824,0.00478678430298621,"BCL2/CASP1/MAPK14",3
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","2/9","105/9399",0.019047619047619,19.8920634920635,6.02669052735958,0.00422832613430448,0.0118871810190824,0.00478678430298621,"BCL2/PTGS2",2
"Organismal Systems","Endocrine system","hsa04922","Glucagon signaling pathway","2/9","107/9399",0.0186915887850467,19.5202492211838,5.96472318943824,0.00438735999183546,0.0121058636811756,0.00487484443537274,"AKT1/SIRT1",2
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","2/9","109/9399",0.018348623853211,19.1620795107034,5.90441865230579,0.00454916465217684,0.012105866508248,0.00487484557379116,"AKT1/MAPK14",2
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","2/9","110/9399",0.0181818181818182,18.9878787878788,5.87486636851865,0.0046311032951016,0.012105866508248,0.00487484557379116,"AKT1/BCL2",2
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","2/9","110/9399",0.0181818181818182,18.9878787878788,5.87486636851865,0.0046311032951016,0.012105866508248,0.00487484557379116,"AKT1/MAPK14",2
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","2/9","115/9399",0.0173913043478261,18.1623188405797,5.73275655021095,0.00505111593218741,0.0129735429183792,0.00522424547048828,"AKT1/BCL2",2
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","2/9","116/9399",0.0172413793103448,18.0057471264368,5.70540811106438,0.00513717471264681,0.0129735429183792,0.00522424547048828,"MAPK14/MMP9",2
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","2/9","122/9399",0.0163934426229508,17.120218579235,5.54821448970504,0.00566782988226295,0.0140751108742863,0.00566782988226295,"AKT1/MAPK14",2
"Organismal Systems","Immune system","hsa04611","Platelet activation","2/9","126/9399",0.0158730158730159,16.5767195767196,5.44950835908087,0.00603514203264784,0.0147415764404021,0.00593620527801427,"AKT1/MAPK14",2
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","2/9","133/9399",0.0150375939849624,15.7042606516291,5.28724023776909,0.00670377161331882,0.0161106769416856,0.00648752091611499,"AKT1/MAPK14",2
"Human Diseases","Infectious disease: viral","hsa05162","Measles","2/9","136/9399",0.0147058823529412,15.3578431372549,5.22142453256319,0.007000317014536,0.0165308274182732,0.00665670902749258,"AKT1/BCL2",2
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","2/9","137/9399",0.0145985401459854,15.2457420924574,5.19994980849154,0.00710048962932542,0.0165308274182732,0.00665670902749258,"AKT1/BCL2",2
"Cellular Processes","Cellular community - eukaryotes","hsa04550","Signaling pathways regulating pluripotency of stem cells","2/9","144/9399",0.0138888888888889,14.5046296296296,5.05570693756265,0.00782012680622063,0.0179261368327211,0.0072185785903575,"AKT1/MAPK14",2
"Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","2/9","149/9399",0.0134228187919463,14.0178970917226,4.95871651523397,0.00835376086447087,0.0188194443382983,0.00757829973354294,"MAPK14/PTGS2",2
"Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","2/9","150/9399",0.0133333333333333,13.9244444444444,4.9398789043916,0.00846243470245629,0.0188194443382983,0.00757829973354294,"AKT1/BCL2",2
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","3/9","480/9399",0.00625,6.52708333333333,3.84826285026701,0.00882454806639746,0.019336142086665,0.00778636594093893,"BCL2/MAPK14/PTGS2",3
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","2/9","168/9399",0.0119047619047619,12.4325396825397,4.62891452921508,0.0105281111906256,0.0223476727196753,0.00899906284013769,"BCL2/CASP1",2
"Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","2/9","168/9399",0.0119047619047619,12.4325396825397,4.62891452921508,0.0105281111906256,0.0223476727196753,0.00899906284013769,"AKT1/BCL2",2
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","2/9","169/9399",0.0118343195266272,12.3589743589744,4.61304615537742,0.0106488910274963,0.0223476727196753,0.00899906284013769,"AKT1/BCL2",2
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","2/9","173/9399",0.0115606936416185,12.0732177263969,4.55089006689707,0.011138267911671,0.0230500266505414,0.00928188992639252,"AKT1/CASP1",2
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","2/9","180/9399",0.0111111111111111,11.6037037037037,4.44690762349662,0.0120186107992471,0.0245311371107921,0.00987831024595654,"AKT1/BCL2",2
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","2/9","200/9399",0.01,10.4433333333333,4.17903671953955,0.0146988776087564,0.0294805611174123,0.0118713668929177,"CASP1/MAPK14",2
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","2/9","201/9399",0.00995024875621891,10.3913764510779,4.1666474422294,0.0148392086161472,0.0294805611174123,0.0118713668929177,"MMP9/PPARG",2
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","2/9","203/9399",0.00985221674876847,10.2889983579639,4.14212883327035,0.0151216526060611,0.0296463978724092,0.0119381467942587,"AKT1/BCL2",2
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","2/9","212/9399",0.00943396226415094,9.85220125786164,4.0358826546058,0.0164218561235453,0.0317773579533538,0.0127962515248405,"AKT1/MAPK14",2
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","2/9","217/9399",0.00921658986175115,9.62519201228879,3.97957023268299,0.0171646568557462,0.0327888957885409,0.0132035821967279,"AKT1/BCL2",2
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","2/9","227/9399",0.00881057268722467,9.20117474302496,3.87224787436069,0.0186935222489332,0.0352574027226715,0.0141976118346328,"AKT1/MAPK14",2
"Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","2/9","235/9399",0.00851063829787234,8.88794326241135,3.7910660228295,0.0199576089777957,0.0371710467211446,0.0149682067333468,"MAPK14/PPARG",2
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","2/9","239/9399",0.00836820083682008,8.73919107391911,3.75191474844591,0.0206031464804383,0.0378996151306829,0.0152615899855099,"CASP1/MAPK14",2
