"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant"
"SLA",0.804252510598293,10.0066345755493,8.69856611591398,2.95187331024983e-12,1.38814262711611e-10,17.6329683773418,"Up"
"BATF",1.21919305617973,7.43530910954782,8.69837507029413,2.95408236080796e-12,1.38814262711611e-10,17.632230370915,"Up"
"CD79A",-1.76745078928012,8.48403153807052,-8.6978580599241,2.96006885165514e-12,1.38836065169049e-10,17.6302331568689,"Down"
"LOC440733",-0.902349993879577,13.4693373580555,-8.69613638690769,2.98009214788531e-12,1.39514928487591e-10,17.6235822128268,"Down"
"PERLD1",-1.15879015025129,6.75530635122666,-8.68534353211236,3.1087501312259e-12,1.44807196919923e-10,17.5818847702629,"Down"
"PPP1R3D",1.00278144111981,7.42877143722952,8.68346092306604,3.13175664206625e-12,1.45531168172912e-10,17.5746107576013,"Up"
"EEF1G",-1.09186005485055,10.9852592514888,-8.68034571569323,3.17020223125971e-12,1.47045911612305e-10,17.5625737952202,"Down"
"CEBPD",1.03352990646368,11.9004502068444,8.67262894435811,3.2674899792248e-12,1.51001283231087e-10,17.532754306294,"Up"
"PCID2",-0.976007472130567,8.68314747411615,-8.66507713096499,3.36559953848619e-12,1.5524985761017e-10,17.5035689919095,"Down"
"FN3KRP",-1.15584594516412,7.67437118884477,-8.6571891845402,3.47123534986485e-12,1.59829407867403e-10,17.4730812068315,"Down"
"FBXO31",-0.997233430794059,7.0126657419937,-8.64700070669828,3.61262161350357e-12,1.6573231270708e-10,17.4336964694727,"Down"
"LOC642817",-1.22950539149483,8.81600419007004,-8.63490070799224,3.78806381210412e-12,1.73148953156905e-10,17.3869150570663,"Down"
"MARCKSL1",-1.17616371368106,8.82686158876587,-8.63162477300792,3.83701706300974e-12,1.75068255833148e-10,17.3742481442301,"Down"
"CD82",1.0358875414674,8.34012137887371,8.63077604730616,3.84980306310157e-12,1.75333422112995e-10,17.3709663182692,"Up"
"HLA-DPA1",-1.90820915645518,10.7802076182201,-8.62750954714885,3.89941300887421e-12,1.77271687238874e-10,17.358335150487,"Down"
"RPS2",-0.92884846349083,12.1651391161094,-8.62527959331465,3.93364849335092e-12,1.78505276395022e-10,17.3497118498194,"Down"
"DYRK2",-1.63046251198955,8.3727186951919,-8.61495482746209,4.09613474927684e-12,1.85210121577014e-10,17.3097821403878,"Down"
"EP400",-0.961751469387066,7.56869802347369,-8.61369279533416,4.11645262264151e-12,1.85509335397592e-10,17.3049009973134,"Down"
"FERMT3",0.828150918255973,9.80139456608665,8.61362726916168,4.11751030834751e-12,1.85509335397592e-10,17.3046475603563,"Up"
"TLR2",1.45624616754269,6.82361461180039,8.60709397439493,4.22434815535017e-12,1.89643058259827e-10,17.2793774391858,"Up"
"OAT",1.21195462102804,7.5505816896626,8.60396489831114,4.2764984965469e-12,1.91642018187503e-10,17.2672736796052,"Up"
"ABI3",-1.19435382291625,7.64484635058006,-8.60121742053461,4.32282151839881e-12,1.92762700318068e-10,17.2566455709991,"Down"
"UBTD1",1.31197628907072,7.03279704212904,8.59466370167807,4.43536229547833e-12,1.96817633768398e-10,17.2312921012017,"Up"
"LOC158345",-1.19684720015202,10.1243952713071,-8.59445662672368,4.43896572580276e-12,1.96817633768398e-10,17.2304909816665,"Down"
"TMEM120A",1.4187885376106,7.77221192010967,8.59361072405706,4.45371630753338e-12,1.97123992907375e-10,17.2272183790516,"Up"
"CLSTN1",-1.10651824428518,7.06955760866528,-8.58148839561787,4.67058691347782e-12,2.06359499129758e-10,17.1803157336946,"Down"
"ZBTB40",-1.04294956636125,7.8702123820511,-8.5769465163968,4.75454448409874e-12,2.09700435667092e-10,17.1627407079067,"Down"
"NDUFS8",-0.977613934375238,9.75100125460085,-8.57096008435185,4.8675233698353e-12,2.13932757898006e-10,17.139574270437,"Down"
"ADM",1.50261279881816,11.2435900580289,8.56389635444574,5.00430400458285e-12,2.19560563133007e-10,17.1122364894234,"Up"
"IL32",-1.53277025216964,8.00290106597373,-8.55969926299599,5.08739578548325e-12,2.22817299733534e-10,17.0959918451998,"Down"
"OSM",1.51311773447893,6.85452348946079,8.5589132208228,5.10311068301296e-12,2.23116874036428e-10,17.0929494054233,"Up"
"MGMT",-1.24966853663457,7.59277234108054,-8.55425388652852,5.19726749432539e-12,2.26839070846077e-10,17.0749144252216,"Down"
"AHNAK",-1.40809459423048,8.24598661644498,-8.54698900799479,5.34756840545771e-12,2.32994574892906e-10,17.0467919007761,"Down"
"OPLAH",1.65918712393405,6.19483287923043,8.5440523519768,5.40955502911522e-12,2.35287566491274e-10,17.0354232716145,"Up"
"COX17",0.850550609853439,9.12969889863409,8.52671666435395,5.79045060947897e-12,2.51419565323491e-10,16.9683030523033,"Up"
"PCMT1",1.12898893568314,10.2972179423769,8.51928684901937,5.96182934502665e-12,2.58414465058569e-10,16.9395317412099,"Up"
"IL27RA",-0.898060475885364,8.30129378322211,-8.51388131637954,6.08970558975017e-12,2.63502923453217e-10,16.9185975729743,"Down"
"LOC285176",-1.00603329810112,12.8941093474287,-8.51300693424695,6.11064753207757e-12,2.63954774839227e-10,16.915211191958,"Down"
"CD47",-0.97887542467144,8.61727098276829,-8.5110209856019,6.15848097018769e-12,2.65564685403977e-10,16.9075197028033,"Down"
"RPS20",-1.01203419061993,12.5006015991453,-8.50903059606954,6.20679836093296e-12,2.67189915742902e-10,16.8998108203656,"Down"
"PHF15",-1.00753198391274,7.75951591751714,-8.50280384330995,6.36042513445857e-12,2.72868750648957e-10,16.8756930327783,"Down"
"C2orf25",0.919364631740452,9.72601959775679,8.49240456799034,6.62555157899051e-12,2.83276133836431e-10,16.8354098144274,"Up"
"ZSWIM6",0.806592056618403,8.69831333454882,8.49146351962515,6.65008370143082e-12,2.83842282264806e-10,16.8317642590339,"Up"
"DGCR6",-0.923057639192692,8.0614980357556,-8.48923727555887,6.70848295763711e-12,2.85849595855927e-10,16.8231397762602,"Down"
"CD163",1.98239719197514,7.71416628075,8.48849162103621,6.72815792480723e-12,2.86202859948653e-10,16.8202510530511,"Up"
"NELF",-0.895275065269461,6.94665536065348,-8.48770319093765,6.74902455443981e-12,2.86605535977393e-10,16.8171965849865,"Down"
"NAT10",-0.933160446947494,7.02523620261424,-8.48329443029146,6.86690948924525e-12,2.91119906508643e-10,16.8001159960368,"Down"
"CCL5",-1.61452107043905,12.1485034627156,-8.4698099289227,7.24044773015217e-12,3.05924127623572e-10,16.7478680950497,"Down"
"GRAP",-1.12593885933888,6.737021568171,-8.46587618655941,7.35321073942206e-12,3.10167312062199e-10,16.7326245532851,"Down"
"EXOC6",1.21740102157263,6.35106671087172,8.45930474743817,7.54552901317169e-12,3.17746397640094e-10,16.7071581285083,"Up"
"JAK2",1.25340684677774,7.13512591270348,8.45316981654278,7.72962500393588e-12,3.2495446922901e-10,16.6833815012042,"Up"
"CD3E",-1.89262612623562,8.08745317245712,-8.45264739787312,7.74550833222866e-12,3.25078596781684e-10,16.6813567273884,"Down"
"LOC644029",-0.857399485323821,11.7814982785894,-8.45043263062964,7.81320936748436e-12,3.27373472497595e-10,16.6727726625563,"Down"
"IFNGR1",1.18494750864323,10.7881060691221,8.44776035957203,7.89568617493099e-12,3.29731495390409e-10,16.6624150895279,"Up"
"RGS14",0.940179331861093,7.15116273971847,8.44775932140351,7.89571838603924e-12,3.29731495390409e-10,16.6624110655811,"Up"
