Genus,K1,K2,K3,K4,K5,K6,M1,M2,M3,M4,M5,M6,Y1,Y2,Y3,Y4,Y5,Y6,Z1,Z2,Z3,Z4,Z5,Z6
Butyrivibrio,0,0,0.0001399188470687,0.000281083106905275,0,0,0.000464612048939136,0,0,0.000277315585135885,0.000534616412723871,0,0,0,0,0,0,0,0,0.000338715140566783,0.000307219662058372,0.000188833637565305,0.00052516764967278,6.87947165657677e-05
Bacteroides,0.00113391540991042,0.00106168383055526,0,0,0,0,0,0.000414336026517506,0,0,0,0,0,0,0,0,0,0,0,0.000338715140566783,0,0,0,0
Fontibacillus,0,0,0,0,0,0,0,0,0.000704845814977974,0.000554631170271769,0.000534616412723871,0,0,0,0,0,0,0,0,0.000451620187422378,0.000204813108038914,6.29445458551017e-05,0,0.000412768299394606
Desulfotomaculum,0,0,0,0,0,0,0.00077435341489856,0,0.000704845814977974,0,0.000801924619085806,0.000277854959711031,0,0,0,0,0,0,0,0,0.000102406554019457,0,0,0
Robinsoniella,0,0,0,0,0.000180886343081097,0.000589414122362372,0,0,0,0,0,0,0.00111557340473003,0,0,0.000488579455233907,0,0.000241370987207338,0,0,0,0,0,0
Treponema,0,0,0.00020987827060305,0,0.000180886343081097,0,0,0.000414336026517506,0,0,0,0.00138927479855515,0,0,0,0,0,0,0,0,0,0.000251778183420407,0.000161590046053163,0
Longilinea,0.000340174622973126,0.000424673532222104,0,0,0,0,0.000309741365959424,0,0.000704845814977974,0,0,0,0,0,0,0,0,0,0,0,0.000307219662058372,0.000314722729275508,0.000161590046053163,0
Cellulosilyticum,0,0,0,0,0,0,0.000309741365959424,0,0,0,0,0.00138927479855515,0,0,0,0,0,0,0,0,0.000409626216077829,0.000188833637565305,0.000242385069079745,0
Klebsiella,0,0,0.0002798376941374,0.000655860582778975,0.000482363581549593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000677430281133567,0,0.000188833637565305,0,0
Acetanaerobacterium,0.00102052386891938,0.000849347064444209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000412768299394606
Erysipelatoclostridium,0,0,0,0,0,0,0,0.000621504039776259,0,0,0.000267308206361935,0,0,0,0,0,0,0,0.000452161331162959,0.000112905046855594,0.000204813108038914,0.000125889091710203,4.03975115132908e-05,0.000275178866263071
Candidatus_Arthromitus,0,0,0,0.00056216621381055,0,0.00153247671814217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paeniclostridium,0.000453566163964168,0.000637010298333156,0,0,0.000180886343081097,0,0,0,0,0,0,0,0,0,0,0,6.86294694942008e-05,0,0,0.000564525234277972,0,0,0,0.000137589433131535
Azospirillum,0,0,0,0,0,0,0,0.000414336026517506,0,0,0,0,0,0,0,0,0,0,0,0.00135486056226713,0,0,0,0.000206384149697303
Fournierella,0,0,0,0,0,0.000353648473417423,0,0,0,0,0,0,0.00156180276662204,0,0,0,0,0,0,0,0,0,0,0
Marvinbryantia,0,0,0,0,0,0,0,0,0,0,0,0,0.000669344042838019,0,0,0,0.000480406286459406,0,0.000361729064930367,0,0,0,0,0.000343973582828839
Brachyspira,0,0,0.00034979711767175,0.00103063805865267,0.000361772686162195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000723458129860734,0,0,0,0,0.000963126031920749
