Taxon,K1,K2,K3,K4,K5,K6,M1,M2,M3,M4,M5,M6,Y1,Y2,Y3,Y4,Y5,Y6,Z1,Z2,Z3,Z4,Z5,Z6
Candidatus_Glassbacteria,9.11893572536e-07,6.10977680374e-07,0,0,0,4.80524502105e-07,9.56415660159e-07,1.16688451752e-06,9.91419757707e-07,7.7058863532e-07,8.25207106354e-07,5.28233462287e-07,6.89164076324e-05,9.09624103985e-05,9.45491211659e-06,2.57481682017e-05,1.55560258373e-05,2.78066840071e-06,0,0,0,0,0,0
Candidatus_Goldbacteria,7.29514858029e-07,6.10977680374e-07,5.60044101606e-07,1.15653713616e-06,0,0,5.97759787599e-07,1.55584602336e-06,8.26183131422e-07,7.7058863532e-07,6.60165685083e-07,1.05646692457e-06,0,0,0,0,0,0,0,0,0,0,0,3.27390754616e-07
Candidatus_Gottesmanbacteria,1.75083565927e-05,1.8532989638e-05,5.60044101606e-06,5.7826856808e-06,6.11259629827e-06,5.60611919122e-06,1.17160918369e-05,8.16819162266e-06,1.10708539611e-05,1.11735352121e-05,1.08927338039e-05,1.00364357835e-05,0,1.05361865326e-06,0,0,0,0,2.71792030174e-06,2.66766945326e-05,1.01491912316e-05,8.70402725298e-06,7.59382166669e-06,2.45543065962e-06
Candidatus_Gracilibacteria,8.20704215283e-06,7.53539139128e-06,8.9607056257e-06,1.63567394971e-05,1.42153402285e-05,6.8875178635e-06,1.54222025201e-05,1.90591137862e-05,1.85065021439e-05,1.42558897534e-05,1.63391007058e-05,1.848817118e-05,0,0,0,0,0,0,4.92623054691e-06,1.46239710992e-05,3.1951157581e-06,1.12148043452e-05,6.98631593336e-06,7.20259660155e-06
Candidatus_Gribaldobacteria,3.28281686113e-06,3.86952530904e-06,1.49345093762e-06,4.9565877264e-07,5.68613609141e-07,0,3.2876788318e-05,1.55584602336e-05,3.61868211563e-05,3.50617829071e-05,3.1687952884e-05,3.29265524825e-05,0,1.05361865326e-06,7.62492912628e-07,4.41397169173e-07,8.10209679024e-07,0,2.8877903206e-06,4.00150417988e-05,2.76283539083e-05,8.77098130877e-05,7.85201160336e-05,2.94651679154e-06
Candidatus_Handelsmanbacteria,5.47136143522e-07,6.10977680374e-07,0,0,0,9.61049004209e-07,1.67372740528e-06,9.72403764603e-07,1.65236626284e-06,9.6323579415e-07,1.65041421271e-06,8.80389103811e-07,0,0,0,4.41397169173e-07,0,0,0,8.03514895559e-07,1.69153187194e-06,0,0,0
Candidatus_Harrisonbacteria,1.27665100155e-06,8.14636907166e-07,3.73362734404e-07,0,7.10767011427e-07,6.40699336139e-07,1.91283132032e-06,0,1.98283951541e-06,1.73382442947e-06,0,8.80389103811e-07,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Heimdallarchaeota,1.82378714507e-06,1.22195536075e-06,0,2.80873304496e-06,9.95073815997e-07,9.61049004209e-07,3.5865587256e-06,7.77923011682e-07,3.30473252569e-06,3.66029601777e-06,1.98049705525e-06,2.28901166991e-06,0,0,0,0,0,0,3.39740037718e-07,0,0,0,0,4.91086131924e-07
Candidatus_Huberarchaea,0,0,0,0,0,4.00437085087e-06,0,0,0,0,0,0,0,3.8632683953e-06,8.84491778649e-06,0,8.10209679024e-07,1.47211856508e-06,0,0,0,4.35201362649e-06,4.25254013335e-06,0
Candidatus_Hydrogenedentes,7.29514858029e-07,0,5.60044101606e-07,1.32175672704e-06,1.42153402285e-06,0,7.17311745119e-07,1.55584602336e-06,4.95709878853e-07,3.8529431766e-07,8.25207106354e-07,7.04311283049e-07,0,0,0,0,0,0,1.52883016973e-06,0,0,2.17600681324e-06,1.3668879e-06,1.14586764116e-06
Candidatus_Hydrothermae,2.5533020031e-06,4.48050298941e-06,0,3.3043918176e-07,0,4.32472051894e-06,2.27148719288e-06,3.88961505841e-07,2.31331276798e-06,1.54117727064e-06,9.90248527624e-07,7.04311283049e-07,2.25033167779e-05,1.54530735812e-05,1.73848384079e-05,0.000298090221581,2.56026258572e-05,5.00520312128e-05,5.09610056577e-07,4.82108937335e-07,5.63843957313e-07,3.01293251065e-06,3.49315796668e-06,4.91086131924e-07
Candidatus_Jorgensenbacteria,5.47136143522e-07,0,0,0,0,0,8.36863702639e-07,0,8.26183131422e-07,1.15588295298e-06,3.30082842541e-07,1.05646692457e-06,0,0,0,0,0,0,0,6.42811916447e-07,0,0,0,0
Candidatus_Kaiserbacteria,1.95145224523e-05,1.71073750505e-05,5.60044101606e-07,1.98263509056e-06,2.70091464342e-06,3.2034966807e-07,8.84684485647e-06,1.69198255041e-05,7.76612143537e-06,6.93529771788e-06,8.58215390608e-06,9.86035796269e-06,0,0,0,0,0,0,5.09610056577e-07,6.0424320146e-05,1.3156359004e-05,1.33908111584e-05,1.12388560667e-05,1.63695377308e-06
Candidatus_Kapabacteria,5.47136143522e-07,1.01829613396e-06,7.46725468808e-07,1.32175672704e-06,1.13722721828e-06,1.12122383824e-06,2.988798938e-06,1.30302104457e-05,3.30473252569e-06,1.9264715883e-06,6.43661542956e-06,5.98664590592e-06,0,0,0,0,0,0,6.79480075436e-07,7.55304001826e-06,3.75895971542e-07,6.69540557921e-07,3.03752866668e-07,9.82172263848e-07
Candidatus_Kerfeldbacteria,9.11893572536e-07,2.03659226791e-06,1.30676957041e-06,1.81741549968e-06,1.56368742514e-06,1.12122383824e-06,7.17311745119e-07,5.83442258762e-07,1.32189301028e-06,1.15588295298e-06,3.30082842541e-07,7.04311283049e-07,1.1251658389e-06,0,0,0,1.62041935805e-07,0,0,6.50847065403e-05,5.63843957313e-07,0,0,0
Candidatus_Komeilibacteria,1.64140843057e-06,1.62927381433e-06,7.46725468808e-07,4.9565877264e-07,1.42153402285e-07,0,1.67372740528e-06,2.33376903505e-06,1.81760288913e-06,1.73382442947e-06,1.98049705525e-06,2.11293384915e-06,0,3.16085595979e-06,0,0,0,0,5.09610056577e-07,2.57124766579e-06,0,1.17169597636e-06,7.59382166669e-07,0
Candidatus_Korarchaeota,1.45902971606e-06,1.22195536075e-06,0,0,0,1.28139867228e-06,3.34745481056e-06,1.75032677629e-06,3.46996915197e-06,2.31176590596e-06,2.47562131906e-06,2.64116731143e-06,0,0,0,0,0,0,0,3.37476256135e-06,5.63843957313e-07,6.69540557921e-07,0,6.54781509232e-07
Candidatus_Kryptonia,1.27665100155e-06,0,0,0,0,0,1.91283132032e-06,7.77923011682e-07,1.65236626284e-06,1.15588295298e-06,8.25207106354e-07,1.23254474534e-06,0,0,0,0,0,0,0,6.42811916447e-07,5.63843957313e-07,5.02155418441e-07,4.55629300002e-07,0
Candidatus_Kuenenbacteria,0,0,0,0,0,0,2.3910391504e-07,0,0,0,0,3.52155641525e-07,0,0,0,0,0,0,0,8.03514895559e-07,0,0,0,0
Candidatus_Latescibacteria,1.294888873e-05,8.96100597882e-06,7.46725468808e-06,1.07392734072e-05,7.53413032112e-06,0,1.55417544776e-06,1.36136527044e-06,3.30473252569e-07,1.73382442947e-06,1.81545563398e-06,1.76077820762e-06,2.39097740765e-06,0,1.21998866021e-06,1.17705911779e-06,1.62041935805e-07,0,1.01922011315e-06,6.42811916447e-07,7.51791943083e-07,0,0,0
Candidatus_Levybacteria,6.01849757874e-06,4.6841622162e-06,3.73362734404e-07,1.48697631792e-06,2.84306804571e-07,1.12122383824e-06,9.08594877151e-06,7.97371086974e-06,8.92277781936e-06,7.51323919437e-06,8.25207106354e-06,6.86703500973e-06,0,0,0,4.41397169173e-07,8.10209679024e-07,0,1.69870018859e-06,1.02849906632e-05,3.57101172965e-06,2.17600681324e-06,2.43002293334e-06,2.29173528231e-06
Candidatus_Lindowbacteria,0,0,0,0,0,6.40699336139e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Liptonbacteria,0,1.01829613396e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Lloydbacteria,7.29514858029e-07,0,7.46725468808e-07,6.6087836352e-07,8.52920413712e-07,0,0,2.33376903505e-06,4.95709878853e-07,0,1.32033137017e-06,7.04311283049e-07,0,0,0,0,0,0,1.69870018859e-07,1.92843574934e-06,0,5.02155418441e-07,1.06313503334e-06,1.30956301846e-06
Candidatus_Lokiarchaeota,7.29514858029e-07,6.10977680374e-07,5.60044101606e-07,4.9565877264e-07,7.10767011427e-07,0,4.78207830079e-07,0,0,0,0,1.76077820762e-07,0,0,0,0,0,0,5.09610056577e-07,0,0,0,0,0
Candidatus_Magasanikbacteria,1.53198120186e-05,1.75146935041e-05,1.45611466418e-05,1.17305909525e-05,1.03771983668e-05,5.60611919122e-06,1.07596761768e-05,4.66753807009e-06,1.10708539611e-05,9.05441646501e-06,6.27157400829e-06,9.50820232116e-06,1.96904021807e-06,0,0,4.41397169173e-07,0,0,5.7755806412e-06,1.20527234334e-05,5.07459561581e-06,2.00862167376e-06,2.58189936668e-06,6.87520584694e-06
Candidatus_Margulisbacteria,1.96969011668e-05,2.24025149471e-05,9.70743109451e-06,1.14001517707e-05,9.52427795312e-06,1.8580280748e-05,2.31930797588e-05,1.67253447512e-05,2.44550206901e-05,2.1576481789e-05,2.16204261865e-05,2.46508949067e-05,1.04077840098e-05,2.80964974204e-06,1.43348667574e-05,7.94514904511e-06,1.79866548743e-05,1.89739726166e-05,1.66472618482e-05,5.44783099189e-05,1.67273707336e-05,9.03879753194e-06,8.5050802667e-06,2.02982267862e-05
Candidatus_Marinimicrobia,3.28281686113e-06,2.85122917508e-06,1.21342888681e-05,8.92185790752e-06,8.24489733255e-06,6.24681852736e-06,2.03238327784e-06,6.80682635222e-06,1.81760288913e-06,2.31176590596e-06,3.30082842541e-06,3.34547859448e-06,0,3.51206217755e-07,6.09994330103e-07,1.17705911779e-06,0,0,5.94545066006e-06,4.17827745691e-06,3.75895971542e-07,6.69540557921e-07,7.59382166669e-07,5.07455669655e-06
Candidatus_Marsarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12768791463e-06,0,0,0
Candidatus_Melainabacteria,0.0008699464682,0.000695292600266,0.000757366306739,0.00142006238361,0.00108534122645,0.000199417668373,0.000894009538333,0.000205955117343,0.00164691345418,0.000980381391286,0.000788237827989,0.000816825010516,3.51614324655e-05,4.03887150418e-06,3.47696768159e-05,2.91322131654e-05,7.63217517641e-05,1.29219296268e-05,0.000860221775502,0.00063509817345,0.00153985784742,0.000354521725419,0.000376197925368,0.000787047374097
Candidatus_Micrarchaeota,1.45902971606e-06,1.01829613396e-06,0,0,0,0,2.74969502296e-06,4.86201882301e-06,1.15665638399e-06,9.6323579415e-07,1.98049705525e-06,2.28901166991e-06,0,0,0,0,0,0,0,3.21405958224e-06,0,0,9.11258600003e-07,1.47325839577e-06
