"Immune_Cell","HubGene","SpearmanR","P_value"
"T cells gamma delta","SIRT1",-0.383846831482102,0.00293458200286319
"Neutrophils","PPARG",0.371257408444424,0.0041153866430438
"Macrophages M0","BCL2",-0.370160780355709,0.00423580061849218
"Dendritic cells activated","MAPK14",0.335868356099682,0.00994988222454796
"T cells CD8","PTGS2",0.328957134042805,0.0116912905292483
"Macrophages M2","CASP1",0.325890398013345,0.0125445981016783
"T cells CD4 memory activated","PTGS2",0.324581254976508,0.0129248856225009
"T cells gamma delta","PTGS2",-0.311287945269752,0.0173824266898074
"T cells CD4 memory resting","SIRT1",0.302062296774919,0.0211958483125325
"NK cells activated","PTGS2",-0.299179024319037,0.0225242558269913
"T cells CD4 naive","PTGS2",-0.295686688214117,0.0242269158764516
"Neutrophils","SIRT1",-0.291826878710511,0.0265907174721112
"T cells CD4 memory resting","MMP9",-0.290191688872925,0.027125124484563
"T cells gamma delta","PPARG",0.281114550026103,0.032548272929073
"Dendritic cells activated","MMP9",0.279710402150777,0.0334628503975583
"Mast cells resting","PTPRC",-0.274369478866663,0.0371392204124158
"Dendritic cells activated","PTPRC",0.269070921583851,0.0411108767697799
"NK cells activated","PPARG",0.267770450363063,0.042137401250165
"NK cells activated","AKT1",-0.26763748936846,0.0422435321845609
"Dendritic cells activated","AKT1",-0.267066381766894,0.0427019015547546
"Macrophages M0","PTGS2",-0.264484158837949,0.0448257395555492
"Macrophages M0","AKT1",-0.242862186146178,0.0662204877778303
"T cells regulatory (Tregs)","MAPK14",-0.238432195781855,0.0714809531065394
"T cells regulatory (Tregs)","PPARG",-0.237386664494255,0.0727698322325144
"Dendritic cells activated","SIRT1",-0.225896217834007,0.0881868317416344
"Plasma cells","SIRT1",-0.225493808400849,0.0887698936261258
"T cells CD4 memory resting","CASP1",-0.218680849334303,0.0991071544155163
"B cells memory","BCL2",-0.21598424995504,0.103447849277114
"B cells naive","PTGS2",-0.214132921387946,0.10651203217554
"B cells memory","PPARG",-0.212244011567935,0.109710078258353
"NK cells activated","PTPRC",-0.21095583799971,0.11193303670723
"B cells memory","MAPK14",0.210446981048629,0.112820616859241
"Mast cells resting","AKT1",-0.205769404739156,0.121234216514974
"T cells regulatory (Tregs)","BCL2",0.204867095704693,0.122910764462111
"Dendritic cells activated","PTGS2",-0.204617256700155,0.123378081312346
"Macrophages M2","PTGS2",-0.196232575375178,0.139856325287136
"Macrophages M0","SIRT1",-0.193119328742744,0.146376819729391
"T cells CD4 memory resting","PTPRC",-0.187855561072675,0.157912043149278
"T cells CD4 naive","MAPK14",0.187761508497633,0.158124073172952
"B cells memory","SIRT1",-0.187190451641706,0.159415956060017
"B cells memory","PTPRC",0.186944350801421,0.159975090570646
"T cells CD8","PTPRC",-0.186270925697692,0.161512467150317
"Mast cells activated","PTPRC",0.185933491137542,0.162286872970632
"T cells gamma delta","PTPRC",0.183498768637635,0.167955461633272
"T cells CD4 memory resting","AKT1",0.181186321686878,0.173472027302945
"B cells naive","MAPK14",-0.180265926444323,0.175703974473107
"Plasma cells","PTGS2",-0.178021427684881,0.18123407496805
"NK cells activated","MAPK14",0.17074329067342,0.200028900386589
"Macrophages M2","PPARG",-0.17006726158728,0.201842418136415
"Macrophages M2","MAPK14",-0.168764670399768,0.205369573162452
"Monocytes","PTPRC",0.168230336214587,0.206261494852226
"NK cells activated","BCL2",-0.16707702369577,0.210003890345836
"T cells CD4 memory activated","PPARG",-0.162931814595021,0.22169799321151
"Dendritic cells activated","CASP1",0.14731825700929,0.269786889026983
"Macrophages M2","PTPRC",0.143100801556217,0.283887985257566
"Macrophages M2","BCL2",0.14205329670546,0.287464233872974
"Macrophages M0","CASP1",0.133735905167623,0.316906273809323
"Mast cells activated","CASP1",-0.130549046968912,0.328679468155796
"Mast cells activated","PTGS2",0.130549046968912,0.328679468155796
"Macrophages M2","SIRT1",-0.127562812936652,0.339958521682719
"B cells memory","PTGS2",-0.122588981066918,0.359273385250334
