Genus,K1,K2,K3,K4,K5,K6,M1,M2,M3,M4,M5,M6,Y1,Y2,Y3,Y4,Y5,Y6,Z1,Z2,Z3,Z4,Z5,Z6
Schaedlerella,0.00675295441755768,0.00525328330206379,0.00947999442353269,0.00829187396351575,0.00939597315436242,0.0043581616481775,0.00371011625030918,0.00210896309314587,0.00673893934954585,0.0056772100567721,0.00376789751318764,0,0.00125044658806717,0.0134283365305563,0.00422691879866518,0.00137804317868627,0.00100435219283562,0.000790638836179633,0.011919587262053,0.00518779829840216,0.00660964230171073,0.00479644361254095,0.00822846079380445,0.00883929865236922
Bacteroides,0.00619020821609454,0.00525328330206379,0.00250941028858218,0.00398009950248756,0.00341671751067724,0.00184891706286318,0.0121197130843433,0.0119507908611599,0.00966891297978318,0.0121654501216545,0.0165787490580256,0.0176013098649202,0,0,0,0,0,0,0.00515922433730653,0.00290516704710521,0.0118584758942457,0.00233972859148339,0.0010487253952888,0.00507172873496595
Robinsoniella,0.00112549240292628,0,0.00460058552906734,0.00447761194029851,0.0048810250152532,0.0048864236661384,0.00519416275043285,0,0.00468795780837972,0.00608272506082725,0.00263752825923135,0.0024559967253377,0,0,0,0,0,0,0.0024906600249066,0.00124507159161652,0.015552099533437,0.0278427702386523,0.031784446595676,0.00289813070569483
Anaerocolumna,0.0135059088351154,0.0136960600375235,0.0112923462986198,0.0104477611940299,0.012202562538133,0.00594294770206022,0.0049468216670789,0.00597539543057996,0.00468795780837972,0.0016220600162206,0.00226073850791258,0.0024559967253377,0,0,0.000444938820912125,0,0.00150652828925343,0.00110689437065149,0.00640455434975983,0.00871550114131563,0.00388802488335925,0.0015208235844642,0.0026621490803485,0.00623098101724388
Turicibacter,0.00206340273869818,0.00262664165103189,0.00209117524048515,0.00232172470978441,0.00231848688224527,0.00699947173798204,0.0108830076675736,0.0031634446397188,0.00761793143861705,0.0223033252230333,0.00263752825923135,0.00573065902578797,0,0,0,0,0,0,0.0174346201743462,0.00684789375389085,0.00272161741835148,0.00514740290126345,0.00556631171345595,0.00739023329952181
Limosilactobacillus,0,0,0.0121288163948139,0.0159203980099502,0.0143990237949969,0.0291864764923402,0.00247341083353945,0.00667838312829526,0.00292997363023733,0.0048661800486618,0.00414468726450641,0.00122799836266885,0.00303679885673455,0.00137023842148534,0,0.00551217271474506,0.0033478406427854,0,0.0037359900373599,0.00186760738742478,0,0,0,0.00188378495870164
Pseudoflavonifractor,0.00975426749202776,0.00863039399624766,0.0104558762024258,0.00829187396351575,0.011470408785845,0.00330163761225568,0.0049468216670789,0.00738137082601054,0.00468795780837972,0.00446066504460665,0.00376789751318764,0.00532132623823168,0.0014290818149339,0.00164428610578241,0,0,0.00251088048208905,0,0.0074719800747198,0.00581033409421042,0.00213841368584759,0.00140383715489003,0.000564698289770894,0.00594116794667439
Eisenbergiella,0.009379103357719,0.0099437148217636,0.013801756587202,0.0109452736318408,0.0115924344112264,0,0.00321543408360129,0.00140597539543058,0.000585994726047466,0,0.00150715900527506,0,0.0014290818149339,0,0,0,0,0.00047438330170778,0.0099626400996264,0.00373521477484955,0.0046656298600311,0.00514740290126345,0.00508228460793804,0.00811476597594551
Butyrivibrio,0.00431438754455074,0.00318949343339587,0.00027882336539802,0.00066334991708126,0.00073215375228798,0.000264131008980454,0.00395745733366312,0.00386643233743409,0.00556694989745092,0.0032441200324412,0.00263752825923135,0.00327466230045027,0.0060735977134691,0.00219238147437654,0.00200222469410456,0.0195222783647221,0.00585872112487446,0.00173940543959519,0.0037359900373599,0.00747042954969911,0.00194401244167963,0.00187178287318671,0.00145208131655373,0.00521663527025069
Oscillibacter,0.00112549240292628,0.00262664165103189,0.00878293601003764,0.00978441127694859,0.011836485661989,0.00673534072900159,0.00371011625030918,0.00492091388400703,0.000878992089071198,0.0016220600162206,0.00602863602110023,0.000818665575112567,0.00178635226866738,0,0.0017797552836485,0.00252641249425815,0.00418480080348175,0.00585072738772929,0.00142323429994663,0.00830047727744345,0,0.00210575573233505,0.00121006776379477,0.00115925228227793
