"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","7/18","144/9369",0.0486111111111111,25.3020833333333,12.8935417085529,4.83697467728678e-09,8.00299446605631e-08,3.19379189217979e-08,"AKT1/CASP8/MAPK14/NFKB1/SIRT1/TLR4/TNF",7
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","7/18","168/9369",0.0416666666666667,21.6875,11.8706855739656,1.41795596128362e-08,2.04772570990751e-07,8.17195338251117e-08,"BCL2/CASP1/CASP8/JAK2/PARP1/TLR4/TNF",7
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","6/18","94/9369",0.0638297872340425,33.2234042553191,13.7755533319882,1.46266122136251e-08,2.04772570990751e-07,8.17195338251117e-08,"CASP8/MAPK14/MMP9/NFKB1/PTGS2/TNF",6
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","6/18","103/9369",0.058252427184466,30.3203883495146,13.1272225414713,2.54312159223163e-08,3.30605806990112e-07,1.31936383356378e-07,"AKT1/CASP8/MAPK14/NFKB1/TLR4/TNF",6
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","6/18","105/9369",0.0571428571428571,29.7428571428571,12.9943924150245,2.85605920176513e-08,3.39150893609325e-07,1.35346510462946e-07,"BCL2/NFKB1/PARP1/PTGS2/TLR4/TNF",6
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","7/18","187/9369",0.0374331550802139,19.4839572192513,11.2015411545852,2.98154631744462e-08,3.39150893609325e-07,1.35346510462946e-07,"BCL2/CASP1/CASP8/MAPK14/NFKB1/TLR4/TNF",7
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","6/18","109/9369",0.055045871559633,28.651376146789,12.7395817714803,3.57787654268179e-08,3.83043253392991e-07,1.52862836808076e-07,"AKT1/CASP8/MAPK14/NFKB1/TLR4/TNF",6
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","7/18","196/9369",0.0357142857142857,18.5892857142857,10.9182040735964,4.12624639943009e-08,4.17209358164598e-07,1.6649766173139e-07,"AKT1/CASP8/CDK4/JAK2/MAPK14/NFKB1/PTGS2",7
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","7/18","200/9369",0.035,18.2175,10.7982845662384,4.74362391882424e-08,4.54389238540006e-07,1.81335207977215e-07,"CASP1/CASP8/GAPDH/MAPK14/NFKB1/TLR4/TNF",7
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","5/18","56/9369",0.0892857142857143,46.4732142857143,14.9739207616484,5.13362147705399e-08,4.67159554411913e-07,1.86431516798276e-07,"CASP1/CASP8/NFKB1/TLR4/TNF",5
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","7/18","205/9369",0.0341463414634146,17.7731707317073,10.6532034970844,5.62400563890574e-08,4.87413822038497e-07,1.94514480744108e-07,"AKT1/BCL2/CASP8/CDK4/MAPK14/NFKB1/TNF",7
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","6/18","122/9369",0.0491803278688525,25.5983606557377,11.9982060604985,7.03964365941354e-08,5.8237052091512e-07,2.32409288277289e-07,"AKT1/CDK4/MAPK14/NFKB1/PTPRC/TNF",6
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","7/18","214/9369",0.0327102803738318,17.0257009345794,10.4046005430458,7.55946114698673e-08,5.98183447283298e-07,2.38719825694318e-07,"AKT1/BCL2/CASP8/MAPK14/NFKB1/TLR4/TNF",7
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","7/18","227/9369",0.0308370044052863,16.0506607929515,10.0711381422099,1.13333832516479e-07,8.59448229916632e-07,3.42983966826186e-07,"AKT1/CASP8/CDK4/MAPK14/NFKB1/PTGS2/TNF",7
"Human Diseases","Infectious disease: viral","hsa05162","Measles","6/18","136/9369",0.0441176470588235,22.9632352941176,11.3194419270693,1.34754386546398e-07,9.81011934057774e-07,3.91496954597955e-07,"AKT1/BCL2/CASP8/CDK4/NFKB1/TLR4",6
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","6/18","137/9369",0.0437956204379562,22.7956204379562,11.2748893115178,1.40770107315754e-07,9.85390751210277e-07,3.93244429343604e-07,"AKT1/BCL2/CASP8/NFKB1/PARP1/TNF",6
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","6/18","138/9369",0.0434782608695652,22.6304347826087,11.2308100476744,1.47005580712474e-07,9.90926507024823e-07,3.9545360893414e-07,"AKT1/CASP1/MAPK14/NFKB1/TLR4/TNF",6
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","6/18","142/9369",0.0422535211267606,21.9929577464789,11.0590598554963,1.74271978424257e-07,1.13276785975767e-06,4.52058891401268e-07,"AKT1/BCL2/MAPK14/MMP9/NFKB1/TNF",6
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","7/18","253/9369",0.0276679841897233,14.401185770751,9.48051642454782,2.37901978227022e-07,1.49304000128683e-06,5.95834355632105e-07,"AKT1/BCL2/CASP1/MAPK14/NFKB1/TLR4/TNF",7
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","5/18","78/9369",0.0641025641025641,33.3653846153846,12.5929508619447,2.76561886387008e-07,1.67780877741452e-06,6.69570882831704e-07,"CASP1/MAPK14/NFKB1/TLR4/TNF",5
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","6/18","157/9369",0.0382165605095541,19.8917197452229,10.4730944682639,3.16341814737345e-07,1.79919407131865e-06,7.18012671607789e-07,"CASP1/JAK2/MAPK14/PPARG/PTGS2/SIRT1",6
"Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","6/18","157/9369",0.0382165605095541,19.8917197452229,10.4730944682639,3.16341814737345e-07,1.79919407131865e-06,7.18012671607789e-07,"AKT1/CASP8/MAPK14/NFKB1/PPARG/TNF",6
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","5/18","90/9369",0.0555555555555556,28.9166666666667,11.6752151761999,5.67770694582568e-07,3.13134140648568e-06,1.24963884932049e-06,"AKT1/JAK2/MAPK14/NFKB1/TLR4",5
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","5/18","93/9369",0.0537634408602151,27.9838709677419,11.4735026647424,6.69066096826324e-07,3.58147145948209e-06,1.42927432448967e-06,"AKT1/BCL2/CDK4/NFKB1/PTGS2",5
