"SampleID","Group","Batch","Cell_Type","Proportion"
"GSM983551","Bacterial_Pneumonia","GSE40012","B cells memory",0.046363481477764
"GSM983551","Bacterial_Pneumonia","GSE40012","Plasma cells",0
"GSM983551","Bacterial_Pneumonia","GSE40012","T cells CD8",0
"GSM983551","Bacterial_Pneumonia","GSE40012","T cells CD4 naive",0.107181308062831
"GSM983551","Bacterial_Pneumonia","GSE40012","T cells CD4 memory resting",0
"GSM983551","Bacterial_Pneumonia","GSE40012","T cells CD4 memory activated",0
"GSM983551","Bacterial_Pneumonia","GSE40012","T cells follicular helper",0
"GSM983551","Bacterial_Pneumonia","GSE40012","T cells regulatory (Tregs)",0.0112611528501998
"GSM983551","Bacterial_Pneumonia","GSE40012","T cells gamma delta",0.0587311375472019
"GSM983551","Bacterial_Pneumonia","GSE40012","NK cells resting",0.0097737250721429
"GSM983551","Bacterial_Pneumonia","GSE40012","NK cells activated",0
"GSM983551","Bacterial_Pneumonia","GSE40012","Monocytes",0.265570027692016
"GSM983551","Bacterial_Pneumonia","GSE40012","Macrophages M0",0.067414219633064
"GSM983551","Bacterial_Pneumonia","GSE40012","Macrophages M1",0
"GSM983551","Bacterial_Pneumonia","GSE40012","Macrophages M2",0
"GSM983551","Bacterial_Pneumonia","GSE40012","Dendritic cells resting",0
"GSM983551","Bacterial_Pneumonia","GSE40012","Dendritic cells activated",0.00715000008108024
"GSM983551","Bacterial_Pneumonia","GSE40012","Mast cells resting",0.0213101099144814
"GSM983551","Bacterial_Pneumonia","GSE40012","Mast cells activated",0
"GSM983551","Bacterial_Pneumonia","GSE40012","Eosinophils",0
"GSM983551","Bacterial_Pneumonia","GSE40012","Neutrophils",0.405244837669218
"GSM983555","Bacterial_Pneumonia","GSE40012","B cells naive",0
"GSM983555","Bacterial_Pneumonia","GSE40012","B cells memory",0.0469305372156266
"GSM983555","Bacterial_Pneumonia","GSE40012","Plasma cells",0.0210308535906683
"GSM983555","Bacterial_Pneumonia","GSE40012","T cells CD8",0.0742336076831387
"GSM983555","Bacterial_Pneumonia","GSE40012","T cells CD4 naive",0.0612459896275826
"GSM983555","Bacterial_Pneumonia","GSE40012","T cells CD4 memory resting",0
"GSM983555","Bacterial_Pneumonia","GSE40012","T cells CD4 memory activated",0.00225325458867122
"GSM983555","Bacterial_Pneumonia","GSE40012","T cells follicular helper",0
"GSM983555","Bacterial_Pneumonia","GSE40012","T cells regulatory (Tregs)",0.0164648373556902
"GSM983555","Bacterial_Pneumonia","GSE40012","T cells gamma delta",0
"GSM983555","Bacterial_Pneumonia","GSE40012","NK cells resting",0.135697712043027
"GSM983555","Bacterial_Pneumonia","GSE40012","NK cells activated",0
"GSM983555","Bacterial_Pneumonia","GSE40012","Monocytes",0.252307084664368
"GSM983555","Bacterial_Pneumonia","GSE40012","Macrophages M0",0.0640930084918057
"GSM983555","Bacterial_Pneumonia","GSE40012","Macrophages M1",0
"GSM983555","Bacterial_Pneumonia","GSE40012","Macrophages M2",0
"GSM983555","Bacterial_Pneumonia","GSE40012","Dendritic cells resting",0
"GSM983555","Bacterial_Pneumonia","GSE40012","Dendritic cells activated",0
"GSM983555","Bacterial_Pneumonia","GSE40012","Mast cells resting",0.0075166196525552
"GSM983555","Bacterial_Pneumonia","GSE40012","Mast cells activated",0
"GSM983555","Bacterial_Pneumonia","GSE40012","Eosinophils",0
"GSM983555","Bacterial_Pneumonia","GSE40012","Neutrophils",0.318226495086866
"GSM983557","Bacterial_Pneumonia","GSE40012","B cells naive",0
"GSM983557","Bacterial_Pneumonia","GSE40012","B cells memory",0.00906340474953093
"GSM983557","Bacterial_Pneumonia","GSE40012","Plasma cells",0
"GSM983557","Bacterial_Pneumonia","GSE40012","T cells CD8",0
"GSM983557","Bacterial_Pneumonia","GSE40012","T cells CD4 naive",0.115731254911214
"GSM983557","Bacterial_Pneumonia","GSE40012","T cells CD4 memory resting",0.0433214290536286
"GSM983557","Bacterial_Pneumonia","GSE40012","T cells CD4 memory activated",0.0176809649189269
"GSM983557","Bacterial_Pneumonia","GSE40012","T cells follicular helper",0
"GSM983557","Bacterial_Pneumonia","GSE40012","T cells regulatory (Tregs)",0
"GSM983557","Bacterial_Pneumonia","GSE40012","T cells gamma delta",0.0273152767316865
"GSM983557","Bacterial_Pneumonia","GSE40012","NK cells resting",0.102800386921117
"GSM983557","Bacterial_Pneumonia","GSE40012","NK cells activated",0
"GSM983557","Bacterial_Pneumonia","GSE40012","Monocytes",0.253726987143209
"GSM983557","Bacterial_Pneumonia","GSE40012","Macrophages M0",0.0262664591580913
"GSM983557","Bacterial_Pneumonia","GSE40012","Macrophages M1",0
"GSM983557","Bacterial_Pneumonia","GSE40012","Macrophages M2",0
"GSM983557","Bacterial_Pneumonia","GSE40012","Dendritic cells resting",0
"GSM983557","Bacterial_Pneumonia","GSE40012","Dendritic cells activated",0.00975230682303066
"GSM983557","Bacterial_Pneumonia","GSE40012","Mast cells resting",0.000450493806471435
"GSM983557","Bacterial_Pneumonia","GSE40012","Mast cells activated",0
"GSM983557","Bacterial_Pneumonia","GSE40012","Eosinophils",0
"GSM983557","Bacterial_Pneumonia","GSE40012","Neutrophils",0.393891035783094
"GSM983577","Bacterial_Pneumonia","GSE40012","B cells naive",0
"GSM983577","Bacterial_Pneumonia","GSE40012","B cells memory",0.0720058411190091
